fra;jour;clage_90;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-04-15;0;2;;0;0;0;0
FR;2020-04-16;0;0;4.39842094899955;16.1737328595495;2.31393893421284;47.5393017611042;9.1574170570973
FR;2020-04-16;0;1;;0;0;0;0
FR;2020-04-16;0;2;;0;0;0;0
FR;2020-04-17;0;0;4.32541192918214;15.3929833415021;2.18282069454077;46.9894991424793;8.74469259812952
FR;2020-04-17;0;1;;0;0;0;0
FR;2020-04-17;0;2;;0;0;0;0
FR;2020-04-18;0;0;4.15853416959951;14.5243250036747;2.13365135466374;45.1955632269659;8.32451823918038
FR;2020-04-18;0;1;;0;0;0;0
FR;2020-04-18;0;2;;0;0;0;0
FR;2020-04-19;0;0;4.03933576989762;13.6809963257838;1.98316337504011;44.8409479878528;8.20829979947104
FR;2020-04-19;0;1;;0;0;0;0
FR;2020-04-19;0;2;;0;0;0;0
FR;2020-04-20;0;0;3.90374759023673;13.7554953255975;1.9384639751519;45.7498357855797;8.21276973945986
FR;2020-04-20;0;1;;0;0;0;0
FR;2020-04-20;0;2;;0;0;0;0
FR;2020-04-21;0;0;3.71750009070253;13.1341736671514;1.78350605553945;44.5816914685012;7.77620560055171
FR;2020-04-21;0;1;;0;0;0;0
FR;2020-04-21;0;2;;0;0;0;0
FR;2020-04-22;0;0;3.5223127111907;12.2535954893538;1.70006717574813;43.5938347309718;7.45734988134917
FR;2020-04-22;0;1;;0;0;0;0
FR;2020-04-22;0;2;;0;0;0;0
FR;2020-04-23;0;0;3.38076461154471;11.3640774315784;1.53914933615059;42.7534860130735;7.16084386209073
FR;2020-04-23;0;1;;0;0;0;0
FR;2020-04-23;0;2;;0;0;0;0
FR;2020-04-24;0;0;3.16471751208504;10.3970804139969;1.46912027632573;41.8133086354249;6.8524180028621
FR;2020-04-24;0;1;;0;0;0;0
FR;2020-04-24;0;2;;0;0;0;0
FR;2020-04-25;0;0;2.99932973249868;9.83088801541295;1.34396195663875;40.1668807395426;6.51717250370055
FR;2020-04-25;0;1;;0;0;0;0
FR;2020-04-25;0;2;;0;0;0;0
FR;2020-04-26;0;0;2.85927161284896;9.44349321638182;1.28883269677663;39.8957043802208;6.42926368392041
FR;2020-04-26;0;1;;0;0;0;0
FR;2020-04-26;0;2;;0;0;0;0
FR;2020-04-27;0;0;2.74156319314335;8.87879079779414;1.1890040370263;40.506596178693;6.43075366391669
FR;2020-04-27;0;1;;0;0;0;0
FR;2020-04-27;0;2;;0;0;0;0
FR;2020-04-28;0;0;2.6149148934601;8.19786993949713;1.11748499720517;39.0911151822331;6.01355926496009
FR;2020-04-28;0;1;;0;0;0;0
FR;2020-04-28;0;2;;0;0;0;0
FR;2020-04-29;0;0;2.45846699385137;7.7091565007194;1.02957617742503;37.8469818853447;5.7200332056942
FR;2020-04-29;0;1;;0;0;0;0
FR;2020-04-29;0;2;;0;0;0;0
FR;2020-04-30;0;0;2.33777861415322;7.24875268187087;0.98785673752937;36.8948846677259;5.48014642629415
FR;2020-04-30;0;1;;0;0;0;0
FR;2020-04-30;0;2;;0;0;0;0
FR;2020-05-01;0;0;2.15004113462275;6.4694931438198;0.891008037771589;35.0890289122423;5.17172056706553
FR;2020-05-01;0;1;;0;0;0;0
FR;2020-05-01;0;2;;0;0;0;0
FR;2020-05-02;0;0;2.0174329149544;6.24450616438249;0.865678377834938;35.0160198924249;5.0942416072593
FR;2020-05-02;0;1;;0;0;0;0
FR;2020-05-02;0;2;;0;0;0;0
FR;2020-05-03;0;0;1.92952409517426;6.02845906492282;0.823958937939279;34.8685118727939;5.02570252743072
FR;2020-05-03;0;1;;0;0;0;0
FR;2020-05-03;0;2;;0;0;0;0
FR;2020-05-04;0;0;1.83118541542021;5.56507528608175;0.768829678077157;35.2052473519517;4.98249310753878
FR;2020-05-04;0;1;;0;0;0;0
FR;2020-05-04;0;2;;0;0;0;0
FR;2020-05-05;0;0;1.72241687569224;5.27750914680095;0.770319658073431;33.8702252752906;4.72174660819091
FR;2020-05-05;0;1;;0;0;0;0
FR;2020-05-05;0;2;;0;0;0;0
FR;2020-05-06;0;0;1.68218741579285;4.96908328757232;0.721150318196403;32.6693013982941;4.38799108902563
FR;2020-05-06;0;1;;0;0;0;0
FR;2020-05-06;0;2;;0;0;0;0
FR;2020-05-07;0;0;1.54510925613568;4.62340792843686;0.674960938311923;31.4832773212603;4.1421443896405
FR;2020-05-07;0;1;;0;0;0;0
FR;2020-05-07;0;2;;0;0;0;0
FR;2020-05-08;0;0;1.52871947617667;4.38054118904427;0.65708117835664;29.8830388052625;3.90225761024045
FR;2020-05-08;0;1;;0;0;0;0
FR;2020-05-08;0;2;;0;0;0;0
FR;2020-05-09;0;0;1.48551005628474;4.22409328943554;0.640691398397631;29.7474506256016;3.84712835037833
FR;2020-05-09;0;1;;0;0;0;0
FR;2020-05-09;0;2;;0;0;0;0
FR;2020-05-10;0;0;1.40654111648224;4.14512434963304;0.631751518419989;29.6804015257693;3.8039189304864
FR;2020-05-10;0;1;;0;0;0;0
FR;2020-05-10;0;2;;0;0;0;0
FR;2020-05-11;0;0;1.29330263676545;3.92460731018456;0.601951918494518;29.9083684651992;3.77709929055347
FR;2020-05-11;0;1;;0;0;0;0
FR;2020-05-11;0;2;;0;0;0;0
FR;2020-05-12;0;0;1.2456232768847;3.6459810508814;0.552782578617491;28.8370728478785;3.50741291122796
FR;2020-05-12;0;1;;0;0;0;0
FR;2020-05-12;0;2;;0;0;0;0
FR;2020-05-13;0;0;1.1666543370822;3.44781371137702;0.521492998695746;27.7404475706211;3.29732573175339
FR;2020-05-13;0;1;;0;0;0;0
FR;2020-05-13;0;2;;0;0;0;0
FR;2020-05-14;0;0;1.11450503721262;3.23623655190617;0.496163338759095;26.7943102729874;3.11256821221547
FR;2020-05-14;0;1;;0;0;0;0
FR;2020-05-14;0;2;;0;0;0;0
FR;2020-05-15;0;0;1.05341585736541;3.31818545170122;0.487223458781454;25.8481729753537;2.97698003255457
FR;2020-05-15;0;1;;0;0;0;0
FR;2020-05-15;0;2;;0;0;0;0
FR;2020-05-16;0;0;1.0087164574772;3.17663735205523;0.451463938870889;24.6874785582566;2.79371249301292
FR;2020-05-16;0;1;;0;0;0;0
FR;2020-05-16;0;2;;0;0;0;0
FR;2020-05-17;0;0;0.996796617507012;3.0768086923049;0.411234478971503;24.5340106186404;2.7445431531359
FR;2020-05-17;0;1;;0;0;0;0
FR;2020-05-17;0;2;;0;0;0;0
FR;2020-05-18;0;0;0.978916857551729;2.97847001255085;0.421664338945417;24.7306879781485;2.77732271305392
FR;2020-05-18;0;1;;0;0;0;0
FR;2020-05-18;0;2;;0;0;0;0
FR;2020-05-19;0;0;0.965507037585267;2.80712231297939;0.390374759023673;23.7368713206341;2.57319545356444
FR;2020-05-19;0;1;;0;0;0;0
FR;2020-05-19;0;2;;0;0;0;0
FR;2020-05-20;0;0;0.929747517674701;2.6655742133334;0.371005019072116;22.7415646831233;2.43015737392218
FR;2020-05-20;0;1;;0;0;0;0
FR;2020-05-20;0;2;;0;0;0;0
FR;2020-05-21;0;0;0.932727477667249;2.42419745393708;0.323325659191363;21.5108412062014;2.26923953432463
FR;2020-05-21;0;1;;0;0;0;0
FR;2020-05-21;0;2;;0;0;0;0
FR;2020-05-22;0;0;0.885048117786495;2.33032871417185;0.317365739206268;21.5972600459853;2.25731969435444
FR;2020-05-22;0;1;;0;0;0;0
FR;2020-05-22;0;2;;0;0;0;0
FR;2020-05-23;0;0;0.847798617879656;2.25582971435817;0.315875759209995;20.898459427733;2.16494093458548
FR;2020-05-23;0;1;;0;0;0;0
FR;2020-05-23;0;2;;0;0;0;0
FR;2020-05-24;0;0;0.768829678077157;2.15749103460411;0.317365739206268;20.8105506079528;2.12769143467864
FR;2020-05-24;0;1;;0;0;0;0
FR;2020-05-24;0;2;;0;0;0;0
FR;2020-05-25;0;0;0.74498999813678;2.00849303497676;0.290546099273344;20.9282590276584;2.13365135466374
FR;2020-05-25;0;1;;0;0;0;0
FR;2020-05-25;0;2;;0;0;0;0
FR;2020-05-26;0;0;0.688370758278385;1.88929463527487;0.292036079269618;20.0372509898868;2.04425255488732
FR;2020-05-26;0;1;;0;0;0;0
FR;2020-05-26;0;2;;0;0;0;0
FR;2020-05-27;0;0;0.658571158352914;1.79542589550964;0.281606219295703;19.2118020719513;1.93250405516681
FR;2020-05-27;0;1;;0;0;0;0
FR;2020-05-27;0;2;;0;0;0;0
FR;2020-05-28;0;0;0.630261538423716;1.77456617556181;0.289056119277071;18.4474423338629;1.82224553544256
FR;2020-05-28;0;1;;0;0;0;0
FR;2020-05-28;0;2;;0;0;0;0
FR;2020-05-29;0;0;0.621321658446075;1.62109823594563;0.259256519351599;17.6875525357634;1.70602709573323
FR;2020-05-29;0;1;;0;0;0;0
FR;2020-05-29;0;2;;0;0;0;0
FR;2020-05-30;0;0;0.594502018513151;1.54510925613568;0.236906819407496;16.8978631377384;1.62258821594191
FR;2020-05-30;0;1;;0;0;0;0
FR;2020-05-30;0;2;;0;0;0;0
FR;2020-05-31;0;0;0.603441898490792;1.49444993626238;0.224986979437308;16.7667448980664;1.59129863602016
FR;2020-05-31;0;1;;0;0;0;0
FR;2020-05-31;0;2;;0;0;0;0
FR;2020-06-01;0;0;0.563212438591406;1.38866135652696;0.192207419519289;16.7473751581148;1.56447899608724
FR;2020-06-01;0;1;;0;0;0;0
FR;2020-06-01;0;2;;0;0;0;0
FR;2020-06-02;0;0;0.561722458595132;1.31267237671701;0.163897799590092;16.7041657382229;1.55106917612078
FR;2020-06-02;0;1;;0;0;0;0
FR;2020-06-02;0;2;;0;0;0;0
FR;2020-06-03;0;0;0.533412838665934;1.25605313685861;0.153467939616177;15.8951066002463;1.45869041635182
FR;2020-06-03;0;1;;0;0;0;0
FR;2020-06-03;0;2;;0;0;0;0
FR;2020-06-04;0;0;0.496163338759095;1.2113537369704;0.144528059638535;15.239515401886;1.36631165658285
FR;2020-06-04;0;1;;0;0;0;0
FR;2020-06-04;0;2;;0;0;0;0
FR;2020-06-05;0;0;0.470833678822445;1.16814431707847;0.15048797962363;14.6330935434026;1.28287277679154
FR;2020-06-05;0;1;;0;0;0;0
FR;2020-06-05;0;2;;0;0;0;0
FR;2020-06-06;0;0;0.451463938870889;1.14579461713437;0.15048797962363;13.9059833052211;1.21433369696295
FR;2020-06-06;0;1;;0;0;0;0
FR;2020-06-06;0;2;;0;0;0;0
FR;2020-06-07;0;0;0.420174358949144;1.10854511722753;0.147508019631082;13.8031746854783;1.19347397701512
FR;2020-06-07;0;1;;0;0;0;0
FR;2020-06-07;0;2;;0;0;0;0
FR;2020-06-08;0;0;0.399314639001314;1.09960523724989;0.151977959619903;13.8642638653255;1.19645393700767
FR;2020-06-08;0;1;;0;0;0;0
FR;2020-06-08;0;2;;0;0;0;0
FR;2020-06-09;0;0;0.365045099087022;1.04596595738404;0.147508019631082;13.4038600464769;1.12642487718281
FR;2020-06-09;0;1;;0;0;0;0
FR;2020-06-09;0;2;;0;0;0;0
FR;2020-06-10;0;0;0.329285579176457;1.01467637746229;0.157937879604997;12.9881556275166;1.09513529726107
FR;2020-06-10;0;1;;0;0;0;0
FR;2020-06-10;0;2;;0;0;0;0
FR;2020-06-11;0;0;0.314385779213721;0.975936897559182;0.159427859601271;12.6260904884221;1.04745593738031
FR;2020-06-11;0;1;;0;0;0;0
FR;2020-06-11;0;2;;0;0;0;0
FR;2020-06-12;0;0;0.302465939243533;0.935707437659796;0.148997999627356;12.2118760494581;1.00275653749211
FR;2020-06-12;0;1;;0;0;0;0
FR;2020-06-12;0;2;;0;0;0;0
FR;2020-06-13;0;0;0.281606219295703;0.889518057775315;0.144528059638535;11.8453409703748;0.966997017581541
